No.,Name,Date,Deaths,Time,Difficulty,ID
1,I wanna be the IWC,2019.05.15,59,00:29:42,15.4,10808
2,I wanna be the IWC2,2019.05.16,46,00:17:02,15.2,10809
3,I wanna fa trap,2019.05.17,88,00:25:06,26.6,10462
4,I wanna fa trap 2,2019.05.18,306,01:33:44,29.0,19669
5,I wanna chase my dream,2019.05.19,362,00:43:50,18.3,17626
6,Thanks for 2014!!,2019.05.21,628,01:09:14,24.0,18335
7,I wanna conquer the blow game,2019.05.22,543,02:14:09,18.3,14742
8,I wanna tell you,2019.05.22,27,00:10:21,8.0,19149
9,I wanna be the Clouds,2019.05.23,300,00:21:26,21.3,17731
10,I wanna hear sakura in air,2019.05.23,72,00:19:31,19.0,20674
11,I wanna conquer the blow game 2,2019.05.25,913,03:06:37,23.7,14743
12,I wanna Interesting,2019.05.25,83,00:49:26,N/A,19786
13,I wanna be the Kaenbyou 2,2019.05.28,423,00:32:38,22.7,18766
14,I wanna be the Kaenbyou,2019.05.28,379,00:34:24,21.6,17724
15,I wanna be the Kaenbyou 3,2019.05.29,280,00:25:07,24.7,18767
16,I wanna qoqoqo origin,2019.05.31,1703,03:50:13,34.5,16595
17,Thanks for 2015!!,2019.05.31,97,00:22:04,22.8,15747
18,I wanna be a lovely memory,2019.06.01,153,00:16:07,15.7,17619
19,I wanna One Screen for Fun!,2019.06.03,302,00:20:55,39.9,20454
20,I wanna eat Latiao,2019.06.04,125,00:12:16,19.8,16057
21,I wanna be the GGM,2019.06.04,45,00:08:19,8.7,10758
22,I wanna eat the lemon,2019.06.05,279,00:27:30,22.6,18603
23,I wanna eat Chocolate Cake,2019.06.06,522,01:00:40,29.9,16187
24,Wish me luck,2019.06.06,441,01:02:42,29.6,10465
25,I wanna graduate,2019.06.07,312,00:31:58,N/A,21796
26,I wanna be the Air,2019.06.08,1019,02:30:40,36.7,10544
27,I wanna solve color puzzle,2019.06.08,180,02:28:24,43.8,16277
28,I wanna 15 cooking methods of AnChun,2019.06.10,197,00:23:11,21.3,17617
29,I don't wanna chat with you,2019.06.11,504,01:02:02,N/A,20076
30,I wanna give a little present to Xia,2019.06.11,116,00:08:57,16.3,18581
31,I wanna give a little present to Xia 2,2019.06.11,14,00:05:06,14.7,19509
32,I wanna be the Person who are Very Very Lucky,2019.06.12,752,01:26:39,34.5,18400
33,I wanna be decent,2019.06.13,72,00:10:43,26.7,19503
34,I wanna protect one life,2019.06.13,57,00:26:38,21.1,15495
35,Happy Dog Year,2019.06.14,103,00:16:43,32.3,19451
36,I wanna present an Easy game with you!,2019.06.14,36,00:13:08,22.1,11685
37,I wanna wanna,2019.06.15,65,00:06:19,19.2,12505
38,I wanna be the Flow,2019.06.15,59,00:20:01,20.6,10726
39,I wanna 完全新手教学,2019.06.17,256,00:51:45,21.0,17640
